postsNum,followersNum,followingNum,hasLocation,AtUserNum,AtUserPostsNum,AtUserFollowerNum,AtUserFollowingNum,hashTagNum,hashTagPostsNum,likeNum
10499,4300000,474,0,6,15145,11301613,3972,1,0,19952
10499,4300000,474,1,4,3918,15222089,3296,0,0,11919
10499,4300000,474,0,4,5866,6786326,1823,1,0,27271
10499,4300000,474,1,3,5666,14017500,2023,0,0,12575
10499,4300000,474,1,9,24929,21136048,5796,1,0,56163
10499,4300000,474,1,4,12729,10317500,4035,0,0,16744
10499,4300000,474,0,8,846,32662,4261,0,0,37716
10499,4300000,474,0,5,5558,82566,7333,1,0,30074
10499,4300000,474,0,6,5235,140702783,3542,1,0,105200
10499,4300000,474,0,5,3338,39803150,2437,1,0,68667
10499,4300000,474,0,6,444,216001338,2734,1,0,131405
10499,4300000,474,0,4,1133,13500000,3785,1,0,56147
10499,4300000,474,0,11,638,3235,6027,1,0,156216
10499,4300000,474,0,5,5635,99804625,2581,2,0,30010
10499,4300000,474,0,3,1174,705220,2139,1,0,69232
10499,4300000,474,0,0,0,0,0,1,0,74874
10499,4300000,474,0,10,6415,21606348,8438,1,0,52964
10499,4300000,474,0,6,1904,3004827,5100,1,0,39416
10499,4300000,474,0,3,984,6800093,91,1,0,26590
13391,4400000,1088,0,9,3286,216000932,2790,2,0,40763
13391,4400000,1088,0,24,19984,4668133,12405,2,0,75715
13391,4400000,1088,0,5,8044,34400679,3245,3,0,100438
13391,4400000,1088,0,12,12161,3440,7688,2,0,63822
13391,4400000,1088,0,7,9201,23382,11165,2,0,134897
13391,4400000,1088,0,1,47,245,584,0,0,151166
13391,4400000,1088,0,10,4780,7073,9860,2,0,168991
13391,4400000,1088,1,3,251,1342,2243,1,0,157157
13391,4400000,1088,1,13,9168,2087,3664,0,0,143215
13391,4400000,1088,1,7,2276,1782,3002,1,0,102895
13391,4400000,1088,1,11,4325,3698,3550,1,0,90247
13391,4400000,1088,1,2,468,311,551,2,0,137492
13391,4400000,1088,1,10,5021,14404674,6925,1,0,110592
13391,4400000,1088,0,4,844,680,2364,0,0,32252
7691,1200000,1994,0,4,1866,19900812,1368,1,0,7479
7691,1200000,1994,0,8,1776,20802211,6549,1,0,6842
7691,1200000,1994,0,2,308,669,2657,1,0,19970
7691,1200000,1994,0,4,4677,65400242,3425,0,0,12443
7691,1200000,1994,0,10,7361,218700580,3314,0,0,5466
7691,1200000,1994,0,4,3283,6517804,3333,1,0,6733
